,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
0,2008,1,3,4,1343.0,1325,1451.0,1435,WN,588,N240WN,68.0,70.0,55.0,16.0,18.0,HOU,LIT,393,4.0,9.0,0,,0,16.0,0.0,0.0,0.0,0.0
1,2008,1,3,4,1125.0,1120,1247.0,1245,WN,1343,N523SW,82.0,85.0,71.0,2.0,5.0,HOU,MAF,441,3.0,8.0,0,,0,,,,,
2,2008,1,3,4,2009.0,2015,2136.0,2140,WN,3841,N280WN,87.0,85.0,71.0,-4.0,-6.0,HOU,MAF,441,2.0,14.0,0,,0,,,,,
3,2008,1,3,4,903.0,855,1203.0,1205,WN,3,N308SA,120.0,130.0,108.0,-2.0,8.0,HOU,MCO,848,5.0,7.0,0,,0,,,,,
4,2008,1,3,4,1423.0,1400,1726.0,1710,WN,25,N462WN,123.0,130.0,107.0,16.0,23.0,HOU,MCO,848,6.0,10.0,0,,0,16.0,0.0,0.0,0.0,0.0
5,2008,1,3,4,2024.0,2020,2325.0,2325,WN,51,N483WN,121.0,125.0,101.0,0.0,4.0,HOU,MCO,848,13.0,7.0,0,,0,,,,,
6,2008,1,3,4,1753.0,1745,2053.0,2050,WN,940,N493WN,120.0,125.0,107.0,3.0,8.0,HOU,MCO,848,6.0,7.0,0,,0,,,,,
7,2008,1,3,4,622.0,620,935.0,930,WN,2621,N266WN,133.0,130.0,107.0,5.0,2.0,HOU,MCO,848,7.0,19.0,0,,0,,,,,
8,2008,1,3,4,1944.0,1945,2210.0,2215,WN,389,N266WN,146.0,150.0,124.0,-5.0,-1.0,HOU,MDW,937,7.0,15.0,0,,0,,,,,
9,2008,1,3,4,1453.0,1425,1716.0,1650,WN,519,N514SW,143.0,145.0,124.0,26.0,28.0,HOU,MDW,937,6.0,13.0,0,,0,11.0,0.0,0.0,0.0,15.0
10,2008,1,3,4,2030.0,2015,2251.0,2245,WN,894,N716SW,141.0,150.0,122.0,6.0,15.0,HOU,MDW,937,11.0,8.0,0,,0,,,,,
11,2008,1,3,4,708.0,615,936.0,840,WN,969,N215WN,148.0,145.0,128.0,56.0,53.0,HOU,MDW,937,10.0,10.0,0,,0,53.0,0.0,3.0,0.0,0.0
12,2008,1,3,4,1749.0,1730,2039.0,2000,WN,2174,N623SW,170.0,150.0,128.0,39.0,19.0,HOU,MDW,937,34.0,8.0,0,,0,10.0,0.0,20.0,0.0,9.0
13,2008,1,3,4,1217.0,1215,1431.0,1440,WN,2445,N651SW,134.0,145.0,124.0,-9.0,2.0,HOU,MDW,937,4.0,6.0,0,,0,,,,,
14,2008,1,3,4,954.0,940,1206.0,1205,WN,2974,N447WN,132.0,145.0,120.0,1.0,14.0,HOU,MDW,937,5.0,7.0,0,,0,,,,,
15,2008,1,3,4,1758.0,1800,1854.0,1900,WN,41,N240WN,56.0,60.0,45.0,-6.0,-2.0,HOU,MSY,303,3.0,8.0,0,,0,,,,,
16,2008,1,3,4,2210.0,2120,2305.0,2215,WN,78,N268WN,55.0,55.0,44.0,50.0,50.0,HOU,MSY,303,3.0,8.0,0,,0,6.0,0.0,0.0,0.0,44.0
17,2008,1,3,4,740.0,740,836.0,840,WN,311,N504SW,56.0,60.0,45.0,-4.0,0.0,HOU,MSY,303,3.0,8.0,0,,0,,,,,
